timestamp,project,application,micro_application,title,description,steps,expected_result,actual_result,status,remarks,comments
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Aug 2027 data point,Click on Aug 2027 data point,Aug 2027 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Jun 2027 data point,Click on Jun 2027 data point,Jun 2027 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Expand actual vs predicted chart,Click on Expand actual vs predicted chart,Expand actual vs predicted chart should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Dec 2027 data point,Click on Dec 2027 data point,Dec 2027 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Open factor analysis,Click on Open factor analysis,Open factor analysis should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Factor dropdown,Select 2 from Factor dropdown,2 should be selectable,Selected 2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Factor start date,Enter value in Factor start date,Factor start date should accept input,Entered value: 2023-01-03,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Factor end date,Enter value in Factor end date,Factor end date should accept input,Entered value: 2027-12-31,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search factor data,Click on Search factor data,Search factor data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Jan 2023 bar,Click on Jan 2023 bar,Jan 2023 bar should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,GDP negative impact,Click on GDP negative impact,GDP negative impact should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,GDP positive impact,Click on GDP positive impact,GDP positive impact should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Close factor popup,Click on Close factor popup,Close factor popup should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Open retail analysis,Click on Open retail analysis,Open retail analysis should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail start date,Enter value in Retail start date,Retail start date should accept input,Entered value: 2023-01-02,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail end date,Enter value in Retail end date,Retail end date should accept input,Entered value: 2025-02-27,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail indicator,Select FEDFUNDS from Retail indicator,FEDFUNDS should be selectable,Selected FEDFUNDS,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail category,Select C2 from Retail category,C2 should be selectable,Selected C2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail frequency,Select F2 from Retail frequency,F2 should be selectable,Selected F2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search retail data,Click on Search retail data,Search retail data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Retail July 2019,Click on Retail July 2019,Retail July 2019 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Home menu (exit Demand Intelligence),Click on Home menu (exit Demand Intelligence),Home menu (exit Demand Intelligence) should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Jan 2030 data point,Click on Jan 2030 data point,Jan 2030 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Nov 2029 data point,Click on Nov 2029 data point,Nov 2029 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Capacity chart,Click on Capacity chart,Capacity chart should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Open date filter,Click on Open date filter,Open date filter should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Start date,Enter value in Start date,Start date should accept input,Entered value: 2023-01-02,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,End date,Enter value in End date,End date should accept input,Entered value: 2030-12-30,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Granularity dropdown,Select 2 from Granularity dropdown,2 should be selectable,Selected 2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Metric dropdown,Select 2 from Metric dropdown,2 should be selectable,Selected 2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Search procurement data,Click on Search procurement data,Search procurement data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Jun 2028 data point,Click on Jun 2028 data point,Jun 2028 data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Close impact popup,Click on Close impact popup,Close impact popup should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Open rate analysis,Click on Open rate analysis,Open rate analysis should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Rate start date,Enter value in Rate start date,Rate start date should accept input,Entered value: 2023-01-02,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Rate end date,Enter value in Rate end date,Rate end date should accept input,Entered value: 2025-02-27,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Indicator dropdown,Select FEDFUNDS from Indicator dropdown,FEDFUNDS should be selectable,Selected FEDFUNDS,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Category dropdown,Select C2 from Category dropdown,C2 should be selectable,Selected C2,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Frequency dropdown,Select F2 from Frequency dropdown,F2 should be selectable,Selected F2,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Search rate data,Click on Search rate data,Search rate data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Rate data point 1,Click on Rate data point 1,Rate data point 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Rate data point 2,Click on Rate data point 2,Rate data point 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Rate data point 3,Click on Rate data point 3,Rate data point 3 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Procurement,Demand Insights End-to-End Validation,Home menu (exit Procurement),Click on Home menu (exit Procurement),Home menu (exit Procurement) should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Pricing chart expand,Click on Pricing chart expand,Pricing chart expand should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue curve point 45k,Click on Revenue curve point 45k,Revenue curve point 45k should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue curve point 60k,Click on Revenue curve point 60k,Revenue curve point 60k should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue curve point 70k,Click on Revenue curve point 70k,Revenue curve point 70k should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue curve point 60k low,Click on Revenue curve point 60k low,Revenue curve point 60k low should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Open price slider,Click on Open price slider,Open price slider should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,20% price point,Click on 20% price point,20% price point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,30% price point,Click on 30% price point,30% price point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,80% price point,Click on 80% price point,80% price point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Switch revenue view,Click on Switch revenue view,Switch revenue view should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue 13M,Click on Revenue 13M,Revenue 13M should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue 11.5M,Click on Revenue 11.5M,Revenue 11.5M should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue 10.5M,Click on Revenue 10.5M,Revenue 10.5M should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Revenue 10M,Click on Revenue 10M,Revenue 10M should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Open cost breakdown,Click on Open cost breakdown,Open cost breakdown should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR incl point 1,Click on DLR incl point 1,DLR incl point 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR incl point 2,Click on DLR incl point 2,DLR incl point 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR incl point 3,Click on DLR incl point 3,DLR incl point 3 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR incl point 4,Click on DLR incl point 4,DLR incl point 4 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR incl point 5,Click on DLR incl point 5,DLR incl point 5 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,IRM point 1,Click on IRM point 1,IRM point 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,IRM point 2,Click on IRM point 2,IRM point 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,IRM point 3,Click on IRM point 3,IRM point 3 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR Turnkey point 1,Click on DLR Turnkey point 1,DLR Turnkey point 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,DLR Turnkey point 2,Click on DLR Turnkey point 2,DLR Turnkey point 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Pricing,Demand Insights End-to-End Validation,Home menu (exit Pricing),Click on Home menu (exit Pricing),Home menu (exit Pricing) should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Go button,Click on Go button,Go button should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Identified Trends,Click on Identified Trends,Identified Trends should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Emerging Business,Click on Emerging Business,Emerging Business should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Strategic Recommendations,Click on Strategic Recommendations,Strategic Recommendations should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Turning Points And Timeline,Click on Turning Points And Timeline,Turning Points And Timeline should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Quantitative Forecasts,Click on Quantitative Forecasts,Quantitative Forecasts should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Microsoft Mount data,Click on Microsoft Mount data,Microsoft Mount data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Chart rect interaction,Click on Chart rect interaction,Chart rect interaction should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Great Lakes data 1,Click on Great Lakes data 1,Great Lakes data 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:45,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Great Lakes data 2,Click on Great Lakes data 2,Great Lakes data 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Great Lakes data 3,Click on Great Lakes data 3,Great Lakes data 3 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Conclusion,Click on Conclusion,Conclusion should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Back to report list,Click on Back to report list,Back to report list should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Report icon,Click on Report icon,Report icon should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Energy type dropdown,Select nuclear from Energy type dropdown,nuclear should be selectable,Selected nuclear,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Go nuclear report,Click on Go nuclear report,Go nuclear report should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Identified Regulatory Risks,Click on Identified Regulatory Risks,Identified Regulatory Risks should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Key US Nuclear Policies,Click on Key US Nuclear Policies,Key US Nuclear Policies should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Quantitative Forecasts,Click on Quantitative Forecasts,Quantitative Forecasts should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,DOE Uranium data 1,Click on DOE Uranium data 1,DOE Uranium data 1 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,DOE Uranium data 2,Click on DOE Uranium data 2,DOE Uranium data 2 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,DOE Uranium data 3,Click on DOE Uranium data 3,DOE Uranium data 3 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Strategic Opportunities,Click on Strategic Opportunities,Strategic Opportunities should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Strategic Recommendations,Click on Strategic Recommendations,Strategic Recommendations should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Conclusion,Click on Conclusion,Conclusion should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Frequency dropdown,Select monthly from Frequency dropdown,monthly should be selectable,Selected monthly,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,December 2025 Nuclear data,Click on December 2025 Nuclear data,December 2025 Nuclear data should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Strategic Opportunities,Click on Strategic Opportunities,Strategic Opportunities should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Strategic Recommendations,Click on Strategic Recommendations,Strategic Recommendations should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Conclusion,Click on Conclusion,Conclusion should be clickable,Clicked successfully,PASS,,
29-01-2026 16:46,Hitachi Tower Track,Demand Insights,Report,Demand Insights End-to-End Validation,Home menu (exit Pricing),Click on Home menu (exit Pricing),Home menu (exit Pricing) should be clickable,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""//img[@alt='HomeMenu']"")
",FAIL,,
